sample_id	num_bulk_reads	num_bulk_mapped_flt	perc_bulk_mapped_flt	num_vlp_reads	num_vlp_mapped_flt	perc_vlp_mapped_flt	viral_enrichment
TLL5	71036606	230659	0.0032470442070388	25944040	31109	0.0011990807908097	2.707944478741964
TLL6	79958446	207122	0.0025903705031986	23642590	19915	0.000842335801619	3.07522308587591
TLL12	74918686	233884	0.0031218379884559	48934168	19260	0.0003935900166934	7.931700134781079
TLL14	83639842	292017	0.0034913624059691	21193280	8003	0.0003776196983194	9.24571048996351
TLL15	79181866	286796	0.003621990924033	20309168	20498	0.0010092978698093	3.5886243619212683
TLL16	63252380	190822	0.0030168350977465	32184168	88945	0.0027636258920845	1.091622099209291
TLL17	81792194	261453	0.0031965519839215	467934	256	0.0005470857001201	5.842872484548312
TLL22	72915290	347507	0.0047659002659113	25252266	49607	0.0019644573679051	2.426064491790736
TLL24	67759462	247230	0.0036486417203253	31552530	22420	0.0007105610865436	5.134874100794699
TLL26	89070120	256755	0.0028826165272933	109769410	135584	0.0012351710736169	2.333779173480924
TLL27	63669512	168554	0.0026473267142364	104720992	116390	0.0011114295021193	2.381911501528864
TLL28	68994120	173013	0.0025076484778702	54559446	101651	0.0018631237567918	1.3459376859582903
TLL29	55174184	199083	0.0036082636038622	26422560	60929	0.002305946130882	1.564764916031234
TLL30	97026952	278266	0.0028679247803228	148349200	162845	0.0010977140422732	2.612633773349364
TLL33	93418566	322780	0.0034552018278679	35630458	50702	0.0014229960221111	2.4281176996838623
TLL34	76848856	243749	0.0031717973784801	61759540	36942	0.0005981586002745	5.302602649237754
TLL36	52817394	212718	0.0040274232386399	26892360	22767	0.0008465973235521	4.757188720774379
TLL37	77459960	216640	0.0027967997917892	88691884	336726	0.0037965818834111	0.7366625764110647
TLL39	65746318	242359	0.0036862748724574	25254000	10342	0.0004095192840738	9.001468345488455
TLL41	50207756	170357	0.0033930415053801	23183542	32180	0.0013880536459873	2.444459920687516
TLL43	79398270	249636	0.0031440987316222	51550446	26501	0.0005140789664554	6.115983996194886
TLL46	67730392	275085	0.0040614706615015	49148710	76269	0.0015518006474635	2.617263156926777
TLL47	77605382	358090	0.0046142418318358	26409940	47057	0.0017817912498097	2.589664660396425
TLL48	73633752	187795	0.0025503929230714	84055610	90397	0.0010754427931699	2.371481718292154
TLL49	73335952	216134	0.0029471765771854	55632888	17503	0.000314616059479	9.367533819047258
TLL52	77455562	234719	0.0030303698525872	23698184	18978	0.0008008208561466	3.78407958450125
TLL54	71699968	240266	0.0033509917326601	24170436	12245	0.0005066106378883	6.614530927790296
TLL55	70036322	208096	0.0029712582565372	152642100	63392	0.0004152982696123	7.154516341497057
TLL56	87315784	261695	0.0029971098925252	31465844	11370	0.0003613441927697	8.294335297190592
TLL57	88790426	302645	0.0034085319063566	51422318	31962	0.0006215589114438	5.483843676923172
TLL61	73410298	250674	0.0034146980305133	25244760	16910	0.0006698419790879	5.097766543629973
TLL62	79545348	280096	0.0035212115735542	20285890	3279	0.0001616394449541	21.784358233561548
TLL63	82923572	256126	0.0030886995557789	71686734	47077	0.0006567044887273	4.703332486374249
TLL66	71927230	234829	0.0032648136178746	29116130	10538	0.000361929968028	9.02056725410968
TLL68	71494626	281162	0.0039326312442	46988796	3824	8.138110199716545e-05	48.323642070330585
TLL72	60483166	224001	0.0037035263663281	14126340	3654	0.0002586657265788	14.31780860692815
TLL75	73495554	253597	0.003450508040255	27482398	19778	0.0007196606351454	4.794632180427222
TLL76	70203750	246182	0.003506678774282	17588950	30243	0.0017194318023531	2.0394404532257844
TLL77	68221584	316126	0.0046338120791801	28062846	14526	0.0005176239074254	8.95208280125093
TLL79	90376882	306365	0.0033898602520941	12771878	13921	0.0010899728293677	3.110041058601772
TLL80	74820274	322848	0.0043149801883911	28482592	7091	0.0002489590834991	17.332085769853226
TLL81	64205490	218343	0.0034006905017	45962360	74936	0.0016303775524146	2.0858300561508494
TLL82	68161876	228907	0.0033582849157496	54748424	93000	0.0016986790341216	1.976997919142663
TLL83	67931840	213603	0.0031443723591176	47077990	27541	0.0005850079835608	5.374922133503332
TLL85	47271562	191133	0.0040432977442124	164315992	45604	0.0002775384151288	14.56842557213478
TLL87	72874654	280862	0.0038540423121597	30105888	40065	0.0013308027984426	2.8960281092510107
TLL88	81099852	229694	0.0028322369811476	54038486	84361	0.0015611281189484	1.8142245641283143
TLL89	79644382	230084	0.0028888917739357	56287880	51074	0.0009073711783069	3.183803765209012
TLL90	74097132	249782	0.0033710076659917	50395966	69673	0.0013825114494283	2.438321698808115
TLL91	68997138	212902	0.0030856642198695	49713638	74185	0.0014922464535787	2.0677979917253624
TLL92	76417098	264319	0.0034588986878303	28607578	3864	0.0001350691065143	25.6083628380443
TLL93	61098028	209584	0.0034302907452266	55148092	81177	0.0014719820225149	2.330389021576419
TLL94	65424538	229500	0.0035078581678329	57173222	21452	0.0003752106187053	9.349037561720536
TLL95	61567056	186553	0.0030300782938199	86741368	58954	0.0006796526427851	4.458274864352753
TLL96	75168148	266327	0.0035430831686846	60260974	103304	0.0017142769713612	2.066809055873402
TLL97	79760136	347991	0.0043629689899224	37720604	35426	0.000939168418406	4.645566124686559
TLL98	71355058	258519	0.0036229947427132	25404202	30355	0.0011948810673131	3.032096533975483
TLL99	64115936	194054	0.0030266110440936	62532124	68374	0.0010934219985874	2.7680173327439084
TLL100	77269012	227684	0.0029466404980045	28283754	6326	0.0002236619650984	13.174526552639636
TLL101	68819382	241808	0.0035136613112858	41477226	50494	0.0012173909605237	2.8862226065603527
TLL105	18634198	73465	0.003942482525945	53830548	33912	0.0006299768674099	6.258138560157044
TLL106	70800658	219223	0.003096341279766	38530730	101972	0.0026465109796777	1.169971068906376
TLL108	17930218	62052	0.0034607498916075	48858094	15946	0.000326373763168	10.60364000468156
TLL109	18419102	74141	0.0040252233795111	12581966	4158	0.0003304729960325	12.180188480859544
